vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
3VWRZ7AJXAM036805,2010,Volkswagen,Jetta,SE Sedan  (PZEV),8725,122006,Automatic,FWD,Gas,23,30,Platinum Gray Metallic,Titan Black, Los Angeles, CA
1C6JJTBG0LL165330,2020,Jeep,Gladiator,Rubicon,45997,46727,Automatic,4WD,Gas,16,23,Black Clearcoat,Black, San Fernando, CA
3N1CP5CV1LL488107,2020,Nissan,Kicks,SV,18794,61469,Automatic,FWD,Gas,31,36,Gun Metallic,Charcoal, Santa Rosa, CA
WP1AA2A58PLB04816,2023,Porsche,Macan,Standard ,57981,3131,Automatic,AWD,Gas,19,25,Volcano Grey Metallic,Black, Riverside, CA
3FMTK3SU3MMA10044,2021,Ford,Mustang,Premium ,42195,34174,Automatic,AWD,Electric,211,,Grabber Blue Metallic,Unknown, Santa Monica, CA
KL4CJASB4LB326689,2020,Buick,Encore,Preferred ,21425,13034,Automatic,FWD,Gas,25,30,Summit White,Ebony, Valencia, CA
5N1AT3BA1MC795143,2021,Nissan,Rogue,SV ,32900,9705,Automatic,FWD,Gas,26,34,Gun Metallic,Charcoal, Kennesaw, GA
2HGFC1F73HH633693,2017,Honda,Civic,EX-L Sedan ,14499,117823,Automatic,FWD,Gas,32,42,White,Unknown, Garland, TX
JN8AT2MVXLW124229,2020,Nissan,Rogue,SV ,24995,24414,Automatic,AWD,Gas,25,32,Pearl White Tricoat,Charcoal, Toms River, NJ
KM8R5DHE3MU187972,2021,Hyundai,Palisade,Limited ,41589,52279,Automatic,AWD,Gas,19,24,Hyper White,Unknown, Online Retailer,
5YFEPMAE6NP292267,2022,Toyota,Corolla,LE ,23000,18328,Automatic,FWD,Gas,30,38,Classic Silver Metallic,Black, Austin, TX
1FMSK8DH1MGA90480,2021,Ford,Explorer,XLT ,39499,7270,Automatic,4WD,Gas,20,27,Star White Metallic Tri-Coat,Ebony, Old Bridge, NJ
WAUKMAF45JA234141,2018,Audi,A4,ultra Premium  S tronic,24492,13516,Automatic,FWD,Gas,27,37,Monsoon Gray Metallic,Black, Beverly Hills, CA
JN1BJ1CW0LW370302,2020,Nissan,Rogue,SV ,23792,33459,Automatic,AWD,Gas,24,30,Gun Metallic,Charcoal, Salt Lake City, UT
1FTEW1EG4FFC61525,2015,Ford,F-150,Platinum SuperCrew 5.5' Box ,33998,121995,Automatic,4WD,Gas,15,21,Silver,Black, Austin, TX
JN1BJ1CW9LW369746,2020,Nissan,Rogue,SV ,22999,31112,Automatic,AWD,Gas,24,30,Caspian Blue Metallic,Light Gray, Woodbury, NJ
JTNKARJE9HJ546012,2017,Toyota,Corolla,,18999,42767,Automatic,FWD,Gas,28,36,Electric Storm Blue,Black, Azusa, CA
3FA6P0K99LR175049,2020,Ford,Fusion,Titanium ,25800,60346,Automatic,FWD,Gas,21,31,Oxford White,Medium Light Stone, Salisbury, MD
1FTNE2EW5CDB36914,2012,Ford,Econoline,E-250 Commercial,13449,75371,Automatic,RWD,Gas,13,17,White,Medium Flint, Sterling, IL
3N1CE2CP9GL354912,2016,Nissan,Versa,Note 1.6 SV ,8950,90215,Automatic,FWD,Gas,31,39,White,Black, North Hollywood, CA
1N4BL4FW8MN384479,2021,Nissan,Altima,2.5 Platinum ,28551,13639,Automatic,AWD,Gas,25,35,Super Black,Light Gray, South Jordan, UT
1FT6W1EV3NWG02396,2022,Ford,F-150,LARIAT SuperCrew 5.5' Box ,79887,3369,Automatic,AWD,Electric,230,,Star White Metallic Tri-Coat,Black, Ogden, UT
2HGFC2F66LH579909,2020,Honda,Civic,LX Sedan ,23290,51361,Automatic,FWD,Gas,30,38,Lunar Silver Metallic,Black, Houston, TX
2C4RC1BG8MR508498,2021,Chrysler,Pacifica,Touring L ,29200,38284,Automatic,FWD,Gas,19,28,Billet Silver Metallic Clearcoat,Black, Miami, FL
5J6RW1H23LA003484,2020,Honda,CR-V,LX ,24997,26576,Automatic,FWD,Gas,28,34,Lunar Silver Metallic,Gray, Las Vegas, NV
