vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
JTDEPRAE6LJ024351,2020,Toyota,Corolla,LE ,19998,58411,Automatic,FWD,Gas,30,38,Super White,Black, Stockbridge, GA
JTDKN3DU0B1370385,2011,Toyota,Prius,One,10979,114507,Automatic,FWD,Hybrid,51,48,Classic Silver Metallic,Dark Gray, Montclair, CA
2T2HZMAA5LC173834,2020,Lexus,RX,RX 350 ,44822,29768,Automatic,FWD,Gas,20,27,Atomic Silver,Parchment, West Covina, CA
WMW53DH04N2R91883,2022,MINI,Hardtop,S 2-Door,25920,9937,Automatic,FWD,Gas,23,33,Island Blue Metallic,Unknown, Rowland Heights, CA
WAULFAFR4DA071741,2013,Audi,A5,Premium Plus Coupe 2.0T quattro ,17988,46223,Automatic,AWD,Gas,20,30,Moonlight Blue Metallic,Titanium Gray, Panorama City, CA
5FNRL6H90KB075435,2019,Honda,Odyssey,Elite,28847,100475,Automatic,FWD,Gas,19,28,Forest Mist Metallic,Beige, Van Nuys, CA
5J8YE1H8XPL019105,2023,Acura,MDX,Advance Package SH-,57395,2179,Automatic,AWD,Gas,19,25,Lunar Silver Metallic,Ebony, Cerritos, CA
WDDXK8DB7KA037973,2019,Mercedes-Benz,S-Class,S 560 Cabriolet ,86595,50740,Automatic,RWD,Gas,17,26,Selenite Grey,Black, Torrance, CA
19UUA66288A020000,2008,Acura,TL,,6999,185813,Automatic,FWD,Gas,18,26,Gray,Black, Lindsay, CA
2T1BURHE9KC204872,2019,Toyota,Corolla,L ,19195,41241,Automatic,FWD,Gas,28,36,Slate Metallic,Steel Gray, Inglewood, CA
55SWF4KB7GU133265,2016,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,15495,111241,Automatic,AWD,Gas,24,31,White,Unknown, Hawthorne, CA
JTDKN3DU9F0477284,2015,Toyota,Prius,Two,10999,149820,Automatic,FWD,Hybrid,51,48,White,Grey, Newbury Park, CA
W1N0G8EB5NV393484,2022,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,41999,4717,Automatic,AWD,Gas,21,28,Manufaktur Diamond White Metallic,Unknown, Valencia, CA
19XFB2F8XEE233265,2014,Honda,Civic,EX Sedan ,14558,106911,Automatic,FWD,Gas,30,39,Crystal Black Pearl,Black, West Covina, CA
3KPF24AD8ME297951,2021,Kia,Forte,LXS IVT,22498,29120,Automatic,FWD,Gas,29,40,Snow White Pearl,Black, Gardena, CA
5XYZT3LB7JG545010,2018,Hyundai,Santa,Base 2.4L ,19400,51204,Automatic,FWD,Gas,21,27,Platinum Graphite,Beige, Van Nuys, CA
3TMLU4EN8FM169525,2015,Toyota,Tacoma,Double Cab 5' Bed V6  ,24991,69187,Automatic,4WD,Gas,16,21,Gray,Gray, Camas, WA
1HGCV1F49MA043297,2021,Honda,Accord,Sport SE 1.5T ,29959,40606,Automatic,FWD,Gas,29,35,San Marino Red,Black, Los Angeles, CA
2HGFC3B31JH355011,2018,Honda,Civic,EX-T Coupe ,24998,30432,Automatic,FWD,Gas,31,40,White Orchid Pearl,Red, Inglewood, CA
4T1K61AK1NU027085,2022,Toyota,Camry,XSE  ,32998,23228,Automatic,FWD,Gas,27,38,White,Black, Sacramento, CA
JTNK4RBE5K3046642,2019,Toyota,Corolla,SE ,22998,48499,Automatic,FWD,Gas,32,42,Midnight Black Metallic,Black, Inglewood, CA
KM8K53AG3PU160055,2023,Hyundai,Kona,Limited,35993,2910,Automatic,FWD,Electric,258,,Lunar White,Black, Long Beach, CA
4T1BF1FK9DU220852,2013,Toyota,Camry,LE I4 ,10499,143835,Automatic,FWD,Gas,25,35,Gray,Unknown, Bakersfield, CA
1HGCV1F17JA194804,2018,Honda,Accord,LX 1.5T ,20995,112111,Automatic,FWD,Gas,30,38,Platinum White Pearl,Black, Downey, CA
JF2GTHMC3MH356976,2021,Subaru,Crosstrek,2.5i Limited ,29649,36631,Automatic,AWD,Gas,27,34,Crystal White Pearl,Gray, El Monte, CA
5XXGT4L36LG392780,2020,Kia,Optima,LX ,19434,58067,Automatic,FWD,Gas,24,32,Snow White Pearl,Black, Tempe, AZ
JN8AS5MT0CW290925,2012,Nissan,Rogue,S ,5999,117526,Automatic,FWD,Gas,23,28,Pearl White,Black, Brea, CA
JF1ZDBE1XN9700710,2022,Subaru,BRZ,Limited ,33200,8690,Manual,RWD,Gas,20,27,Wr Blue Pearl,Black/Red, Santa Monica, CA
3VWG57BU5KM245446,2019,Volkswagen,Jetta,SEL Premium  with CWP,24998,31233,Automatic,FWD,Gas,30,40,Pure White,Titan Black, Pleasanton, CA
4S3GTAJ65K1741238,2019,Subaru,Impreza,2.0i Sport 5-door ,23000,18159,Manual,AWD,Gas,22,30,Magnetite Gray Metallic,Black, Van Nuys, CA
JTHY3JBH1K2016717,2019,Lexus,UX,UX 200 ,27563,29070,Automatic,FWD,Gas,29,37,Eminent White Pearl,Lapis, Bellflower, CA
W1KCG2DB3PA028840,2023,Mercedes-Benz,EQS,EQS 450+ ,95993,116,Automatic,RWD,Electric,350,,Obsidian Black Metallic,Amg Black/Space Grey, Torrance, CA
5FNRL6H75KB099194,2019,Honda,Odyssey,EX-L,31975,46674,Automatic,FWD,Gas,19,28,Lunar Silver Metallic,Unknown, Rowland Heights, CA
1N4AA6CV6NC503507,2022,Nissan,Maxima,SV,25995,622,Automatic,FWD,Gas,20,30,Brilliant Silver Metallic,Charcoal, Inglewood, CA
JTNKHMBX5L1092803,2020,Toyota,C-HR,XLE ,23888,32073,Automatic,FWD,Gas,27,31,Magnetic Gray Metallic,Unknown, Whittier, CA
WA1A4AFY7M2011884,2021,Audi,SQ5,Premium SUV,42992,20076,Automatic,AWD,Gas,18,24,Glacier White Metallic,Black, Beverly Hills, CA
1N4BL4BV3LC195178,2020,Nissan,Altima,2.5 S ,20998,67890,Automatic,FWD,Gas,28,39,Super Black,Charcoal, Cincinnati, OH
SHHFK7H42KU425453,2019,Honda,Civic,Sport Hatchback ,25558,16994,Automatic,FWD,Gas,30,38,White Orchid Pearl,Black, West Covina, CA
W1N0G8DB9NV388693,2022,Mercedes-Benz,GLC,GLC 300 SUV ,41985,8216,Automatic,RWD,Gas,22,27,Graphite Grey Metallic,Magma Grey/Black, Peoria, AZ
WAU32AFD5FN030398,2015,Audi,A8,L 4.0T,28801,50777,Automatic,AWD,Gas,18,29,Brilliant Black,Velvet Beige, Torrance, CA
3CZRM3H58FG709898,2015,Honda,CR-V,EX ,17998,105635,Automatic,FWD,Gas,27,34,Crystal Black Pearl,Black, Tyler, TX
W1N4M4GB7LW059397,2020,Mercedes-Benz,GLB,GLB 250,33997,29771,Automatic,FWD,Gas,23,30,Night Black,Black, Encino, CA
